id,shift,title,short title,description,short description,update frequency,units,prefix,suffix,target direction of change,acceleration factor,driver type,status,chart min,chart max,start year,end year,source,last accessed date,methodology description,data file,repository,indicator type,benchmarks,data challenges,exponential,chart hide map,chart hide disagg,chart hide change
cntry_bio_sub,Scale up public finance for climate and nature,Number of countries with biodiversity-relevant subsidies,Countries with biodiversity-relevant subsidies,,,,Number of countries,,,incr,,Strong institutions,,0,40,,,Tracking Economic Instruments and Finance for Biodiversity 2021,,,cntry_bio_sub.csv,public,driver,,,,1,1,
cntry_cdr_dply,Scale up technological carbon removal,Number of governments providing carbon removal deployment support,Governments providing carbon removal deployment support,,,,Number of governments,,,incr,,Regulation and Incentives,,0,10,,,"Global Thermostat to Supply Equipment Needed to Remove Atmospheric CO2 for HIF’s Haru Oni eFuels Pilot Plant;Switzerland and Iceland Strike Carbon Capture Deal;Carbon Capture, Use and Storage Development Fund;Canada Offers Carbon Capture Tax Credit to Reduce Emissions;26 U.S. Code § 45Q - Credit for carbon oxide sequestration;Accelerating carbon capture technologies",2022-07-14,,cntry_cdr_dply.csv,private,driver,,,,1,1,1
cntry_cdr_infrstr,Scale up technological carbon removal,Number of governments providing funding carbon removal enabling infrastructure,Governments funding carbon removal enabling infrastructure,,,,Number of governments,,,incr,,Regulation and Incentives,,0,10,,,"Council on Environmental Quality Report to Congress on Carbon Capture, Utilization, and Sequestration;The Carbon Capture and Storage Infrastructure Fund;Carbon Capture, Use and Storage Development Fund;Accelerating carbon capture technologies",,,cntry_cdr_infrstr.csv,public,driver,,,,1,1,1
cntry_cdr_rd,Scale up technological carbon removal,"Number of governments investing in carbon removal research, development and demonstration",Governments investing in carbon removal RD&D,,,,Number of governments,,,incr,,Innovation,,0,10,,,Program to capture and store carbon dioxide (CO2) pollution directly from the air;Biden Administration Launches $3.5 Billion Program to Capture Carbon Pollution from the Air;Government invests over £116 million to drive forward green innovation in the UK;Commission awards over €1 billion to innovative projects for the EU climate transition;Direct Air Capture;Funded projects;Government of Canada invests in making Canada a world leader in technology to combat climate change;Direct CO2 Capture from Air via Crystallization with a Trichelating Iminoguanidine Ligand,2022-06-08,,cntry_cdr_rd.csv,private,driver,,,,1,1,1
cntry_coal_phst_pln,Phase out unabated coal and fossil gas electricity generation,Number of countries with coal phase-out plans,Countries with coal phase-out plans,,,,Number of countries,,,incr,,Regulation and Incentives,,0,50,,,When do countries plan to phase out coal?,2022-06-21,,cntry_coal_phst_pln.csv,public,driver,,,,1,1,1
cntry_dvlpd_pub_fin,Scale up public finance for climate and nature,Pledges from developed countries on international climate finance,Pledges from developed countries on international climate finance ,,,,billion USD,$,B,incr,,Strong institutions,,0,120,,,COP26 Presidency Compilation of 2021-2025 Climate Finance Commitments,,,cntry_dvlpd_pub_fin.csv,public,driver,,,,1,1,
cntry_ee_utlty_plcy,Improve industrial energy efficiency,Number of countries with energy efficiency obligations for utilities,Countries with energy efficiency obligations for utilities,,,,Number of countries,,,incr,,Regulation and Incentives,,0,,,,Energy Efficiency 2021,,,cntry_ee_utlty_plcy.csv,private,driver,,,,1,1,
cntry_elec_plan,Ensure energy access and a just and equitable transition for all,Number of countries with strong electrification plans,Countries with strong electrification plans,,,,Number of countries,,,incr,,Regulation and Incentives,,0,110,,,Regulatory Indicators for Sustainable Energy - Electrification Planning,2022-09-29,,cntry_elec_plan.csv,public,driver,,,,1,1,
cntry_fin_incl,Extend economic and financial inclusion to underserved and marginalized groups,Number of countries with financial inclusion strategies and/or payment systems,Countries with financial inclusion strategies or payment systems,,,,Number of countries,,,incr,,Strong institutions,,0,195,,,National Financial Inclusion Strategies: Current State of Practice,,,cntry_fin_incl.csv,public,driver,,,,1,1,
cntry_fin_strg,"Modernize power grids, scale energy storage and manage power demand",Number of countries with financial incentives for energy storage,Countries with financial incentives for energy storage,,,,Number of countries,,,incr,,Regulation and Incentives,,0,5,,,The Energy Storage Technology Collaboration Programme,2022-06-01,,cntry_fin_strg.csv,private,driver,,,,1,1,1
cntry_fsl_subs_rfrm_ndcs,Eliminate harmful subsidies and financing,Number of countries committed to fossil fuel subsidy reform in their Nationally Determined Contributions,Countries committed to reform fossil fuel subsidies,,,,Number of countries,,,incr,,Leadership,,0,20,,,Cutting Emissions Through Fossil Fuel Subsidy Reform and Taxation;Raising Ambition Through Fossil Fuel Subsidy Reform,,,cntry_fsl_subs_rfrm_ndcs.csv,public,driver,,,,1,1,
cntry_gmp,Reduce methane emissions from oil and gas operations as they are phased down,Number of countries committed to the Global Methane Pledge,Countries committed to the Global Methane Pledge,,,,Number of countries,,,incr,,Leadership,,0,140,,,Pledges,2022-08-01,,cntry_gmp.csv,public,driver,,,,1,1,1
cntry_grn_bdgt,Scale up public finance for climate and nature,Number of countries that have committed to adopt green budgeting,Countries with commitments to adopt green budgeting,,,,Number of countries,,,incr,,Strong institutions,,0,20,,,Green Budgeting in OECD Countries,,,cntry_grn_bdgt.csv,public,driver,,,,1,1,
cntry_grn_prcr,Scale up public finance for climate and nature,Number of countries that have adopted green public procurement practices in their procurement strategies and regulations,Countries with green public procurement,,,,Number of countries,,,incr,,Strong institutions,,0,85,,,Green Public Procurement,,,cntry_grn_prcr.csv,public,driver,,,,1,1,
cntry_mode_trgt,"Shift to public, shared and non-motorized transport",Number of countries with announced mode shift targets prioritizing public transport,Countries with mode shift targets prioritizing public transport,,,,Number of countries,,,incr,,Regulation and Incentives,,0,15,,,Changing Transport Tracker,,,cntry_mode_trgt.csv,public,driver,,,,1,1,1
cntry_ndc_sdg,Adopt land use strategies that limit urban expansion and increase accessibility,Number of countries with Nationally Determined Contributions that are aligned with SDG 11,Countries with NDCs aligned with SDG 11,,,,Number of countries,,,incr,,Leadership,,0,200,,,NDC-SDG Linkages,2022-09-09,,cntry_ndc_sdg.csv,public,driver,,,,1,1,1
cntry_new_std,Optimize building energy use,Share of countries / jurisdictions with minimum energy performance standards for new buildings,Countries with minimum energy performance standards for new buildings,,,,%,,%,incr,,Regulation and Incentives,,0,,,,2021 Global Status Report for Buildings and Construction;2020 Global Status Report for Buildings and Construction;2019 Global Status Report for Buildings and Construction;2018 Global Status Report,,,cntry_new_std.csv,public,driver,,,,1,1,
cntry_phs_fsl,Eliminate harmful subsidies and financing,Number of countries and development finance institutions (including multilateral and national development banks) with plans to phase out fossil fuel projects and financing,Countries and development finance institutions with plans to phase out fossil fuel projects and financing,,,,Number of countries and MDBs,,,incr,,Leadership,,0,195,,,Fossil Fuels,2022-04-21,,cntry_phs_fsl.csv,public,driver,,,,1,1,1
cntry_re_rgltry,Rapidly scale up zero-carbon electricity generation,Number of countries with regulatory frameworks for renewable electricity generation,Countries with regulatory frameworks for renewable electricity generation,,,,Number of countries,,,incr,,Regulation and Incentives,,0,50,,,Regulatory Indicators for Sustainable Energy - Renewable Energy,2022-06-16,,cntry_re_rgltry.csv,public,driver,,,,1,1,
cntry_re_tax,Rapidly scale up zero-carbon electricity generation,Number of countries with tax incentives for renewable electricity generation,Countries with tax incentives for renewable electricity generation,,,,Number of countries,,,incr,,Regulation and Incentives,,0,60,,,Policies database,2022-06-20,,cntry_re_tax.csv,public,driver,,,,1,1,1
cntry_re_trgt,Rapidly scale up zero-carbon electricity generation,Number of countries with renewable energy generation/capacity targets,Countries with renewable energy generation/capacity targets,,,,Number of countries,,,incr,,Regulation and Incentives,,0,170,,,NDCs and Renewable Energy Targets In 2021,,,cntry_re_trgt.csv,public,driver,,,,1,1,1
cntry_tax_plstc,Price greenhouse gas emissions and other environmental externalities,Number of countries with national-level taxes and charges on single-use plastics and plastic bags,Countries with taxes and charges on single-use plastics,,,,Number of countries,,,incr,,Regulation and Incentives,,0,70,,,Legal Limits on Single-Use Plastics and Microplastics,,,cntry_tax_plstc.csv,public,driver,,,,1,1,
cntry_walk_plan,"Shift to public, shared and non-motorized transport",Number of countries with walking and bicycling plans,Countries with walking and bicycling plans,,,,Number of countries,,,incr,,Regulation and Incentives,,0,120,,,"Transport and Climate Change Global Status Report, Second Edition",,,cntry_walk_plan.csv,public,driver,,,,1,1,
cntry_zrf,Reduce methane emissions from oil and gas operations as they are phased down,Number of countries in the Zero Routine Flaring Initiative,Countries in the Zero Routine Flaring Initiative,,,,Number of countries,,,incr,,Leadership,,0,35,,,Zero Routine Flaring by 2030 (ZRF) Initiative,2022-07-13,,cntry_zrf.csv,public,driver,,,,1,1,1
co2_rmvd,Scale up technological carbon removal,Scale up technological carbon removal at a rate that puts us on track for multi-gigaton scale removal by 2050,Technological carbon removal,,,,MtCO2/year,,,incr,764.879,,Well Off Track,0,5000,,,List of known CDR purchases;EPA Facility Level GHG Emissions Data;Orca Is Climeworks’ New Large-Scale Carbon Dioxide Removal Plant,,,co2_rmvd.csv,public,outcome,co2_rmvd_2030;co2_rmvd_2050,,possible,1,1,
corp_cdr_cmt,Scale up technological carbon removal,Number of companies purchasing carbon removal credits,Companies purchasing carbon removal credits,,,,Number of companies,,,incr,,Leadership,,0,80,,,List of known CDR purchases,2022-06-08,,corp_cdr_cmt.csv,public,driver,,,,1,1,1
corp_clmt_rsk,"Measure, disclose and manage climate- and nature-related financial risks","Share of the world's largest corporations (financial and non-financial) effectively measuring and disclosing climate risks and management, as measured by adoption of existing reporting standards aligned with TCFD recommendations",Corporations measuring and disclosing climate-related financial risks and management,,,,%,,%,incr,0.841,,On Track,0,100,,,Companies Reporting with SASB Standards,2022-09-23,,corp_clmt_rsk.csv,public,outcome,corp_clmt_rsk_2030,,unlikely,1,1,
corp_dfrst_plcy,Eliminate harmful subsidies and financing,Share of the world's corporations (financial and non-financial) contributing the most to deforestation that currently have commitments to reduce deforestation,Corporations with commitments to reduce deforestation,,,,%,,%,incr,,Leadership,,0,50,,,Forest500,2022-05-16,,corp_dfrst_plcy.csv,public,driver,,,,1,1,
corp_dfrst_rprt,Eliminate harmful subsidies and financing,Share of the world's corporations (financial and non-financial) most responsible for forest loss that are implementing their commitments to reduce deforestation,Corporations implementing on commitments to reduce deforestation,,,,%,,%,incr,,,Cannot Calculate,0,,,,Forest500,2022-04-29,,corp_dfrst_rprt.csv,public,outcome,corp_dfrst_rprt_2030,,unlikely,1,1,
corp_emsn_dscls,"Measure, disclose and manage climate- and nature-related financial risks","Number of corporations (financial and non-financial) that are publicly disclosing complete GHG emissions (scope 1, scope 2 and scope 3)",Corporations publicly disclosing complete greenhouse gas emissions ,,,,Number of corporations,,,incr,,Leadership,,0,3500,,,CDP Technical Note: Relevance of Scope 3 Categories by Sector,2022-05-12,,corp_emsn_dscls.csv,public,driver,,,,1,1,
corp_ntr_rsk_dscls,"Measure, disclose and manage climate- and nature-related financial risks","Share of the world's largest global corporations (financial and non-financial) assessing and disclosing standard metrics for biodiversity and nature-related financial risks, as measured by implementation of the TNFD framework",Corporations measuring and disclosing nature-related financial risks and management,,,,%,,%,incr,,,Cannot Calculate,0,,,,Taskforce on Nature-related Financial Disclosures,2022-02-01,,corp_ntr_rsk_dscls.csv,public,outcome,corp_ntr_rsk_dscls_2030,,unlikely,1,1,1
corp_proc_re,Rapidly scale up zero-carbon electricity generation,Corporate procurements of renewable energy,Corporate procurements of renewable energy,,,,GW,,,incr,,Leadership,,0,40,,,Growing Corporate Presence in Power Markets Will Boost Clean Energy,,,corp_proc_re.csv,private,driver,,,,1,1,
corp_rd_green_hydro,"Commercialize new solutions for cement, steel and plastics",Global research and development spending on green hydrogen,Global R&D spending on green hydrogen ,,,,billion USD,$,B,incr,,Innovation,,0,2,,,Global Hydrogen Review 2022,,,corp_rd_green_hydro.csv,public,driver,,,,1,1,1
corp_rtz,Scale up private finance for climate and nature,Number of corporations that have joined the UNFCCC's Race to Zero and are committed to reaching net-zero,Corporations that have joined the UNFCCC's Race to Zero,,,,Number of corporations,,,incr,,Leadership,,0,10000,,,Global Climate Action NAZCA,2022-05-12,,corp_rtz.csv,public,driver,,,,1,1,
corp_sbt,Scale up private finance for climate and nature,Number of corporations (financial and non-financial) with validated science-based targets,Corporations with validated science-based targets,,,,Number of corporations,,,incr,,Leadership,,0,1600,,,Companies Taking Action,2022-04-27,,corp_sbt.csv,public,driver,,,,1,1,
corp_tnfd,"Measure, disclose and manage climate- and nature-related financial risks","Number of corporations, governments and civil society organizations supporting TNFD","Corporations, governments and civil society organizations supporting TNFD",,,,"Number of corporations, governments and CSOs",,,incr,,Leadership,,0,700,,,Taskforce on Nature-related Financial Disclosures,2022-03-02,,corp_tnfd.csv,public,driver,,,,1,1,1
cost_bttry_strg,"Modernize power grids, scale energy storage and manage power demand",Cost of battery storage,Cost of battery storage,,,,$/kWh,,,decr,,Innovation,,0,1400,,,"Battery Pack Prices Fall to an Average of $132/kWh, But Rising Commodity Prices Start to Bite",,,cost_bttry_strg.csv,private,driver,,,,1,1,
cost_cptl,Eliminate harmful subsidies and financing,"Cost of capital for high-carbon activities, starting with offshore oil production",Cost of capital for high-carbon activities,,,,%,,%,incr,,,Cannot Calculate,0,,,,Carbonomics: The green engine of economic recovery,,,cost_cptl.csv,private,outcome,,,unlikely,1,1,
cost_wind_slr,"Commercialize new solutions for cement, steel and plastics",Cost of wind and solar,Cost of wind and solar,,,,USD/kWh,,,decr,,Innovation,,0,2,,,"Global Trends: Global weighted average total installed costs, capacity factors and LCOE 2010-2020",,,cost_wind_slr.csv,public,driver,,,,,1,
cptl_blnd,Scale up public finance for climate and nature,Total blended and catalytic finance,Total blended and catalytic finance,,,,billion USD,$,B,incr,,Strong institutions,,0,15,,,The State of Blended Finance 2021,,,cptl_blnd.csv,public,driver,,,,1,1,
cptl_corp_grn_bnd,Scale up private finance for climate and nature,"Sustainable capital raised by corporations, starting with corporate sustainable bonds",Sustainable capital raised by corporations,,,,billion USD,$,B,incr,,Innovation,,0,700,,,Sustainable finance continues surge in 2021,2022-06-27,,cptl_corp_grn_bnd.csv,public,driver,,,,1,1,
cptl_svrgn_grn_bnd,Scale up public finance for climate and nature,"Sustainable debt raised by sovereigns, starting with sovereign green bonds","Sustainable debt raised by sovereigns, starting with sovereign green bonds",,,,billion USD,$,B,incr,,Innovation,,0,100,,,Sustainable Debt Global State of The Market ,,,cptl_svrgn_grn_bnd.csv,public,driver,,,,,1,
crbn_intnsty_cmmrcl,"Decarbonize heating, cooling and appliances",Carbon intensity of commercial buildings,Carbon intensity of commercial buildings,,,,kgCO2/m2/yr,,,decr,,,Cannot Calculate,0,70,,,,,,crbn_intnsty_cmmrcl.csv,public,outcome,crbn_intnsty_cmmrcl_2030;crbn_intnsty_cmmrcl_2050,,possible,1,1,1
crbn_intnsty_rsdntl,"Decarbonize heating, cooling and appliances",Carbon intensity of residential buildings,Carbon intensity of residential buildings,,,,kgCO2/m2/yr,,,decr,,,Cannot Calculate,0,30,,,,,,crbn_intnsty_rsdntl.csv,public,outcome,crbn_intnsty_rsdntl_2030;crbn_intnsty_rsdntl_2050,,possible,1,1,1
crp_insr,Eliminate harmful subsidies and financing,Crop insurance reformed to include sustainable conditionalities,Crop insurance reformed to include sustainable conditionalities,,,,billion USD,$,B,incr,,Strong institutions,,0,20,,,Revising Public Agricultural Support to Mitigate Climate Change,,,crp_insr.csv,public,driver,,,,1,1,1
cty_zerowst_trgt,Rapidly scale up zero waste outcomes in cities,Number of cities committed to zero-waste targets,Cities committed to zero-waste targets,,,,Number of cities,,,incr,,,,0,,,,Why cities need to advance towards zero waste,,,cty_zerowst_trgt.csv,public,driver,,,,,,
enrgy_intnsty_cmmrcl,Optimize building energy use,Energy intensity of commercial buildings,Energy intensity of commercial buildings,,,,% of 2015 levels,,,decr,5.309,,Well Off Track,0,,,,,,,enrgy_intnsty_cmmrcl.csv,private,outcome,enrgy_intnsty_cmmrcl_2030;enrgy_intnsty_cmmrcl_2050,,unlikely,1,1,
enrgy_intnsty_rsdntl,Optimize building energy use,Energy intensity of residential buildings,Energy intensity of residential buildings,,,,% of 2015 levels,,,decr,6.773,,Well Off Track,0,,,,,,,enrgy_intnsty_rsdntl.csv,private,outcome,enrgy_intnsty_rsdntl_2030;enrgy_intnsty_rsdntl_2050,,unlikely,1,1,
enrgy_strg_invst,"Modernize power grids, scale energy storage and manage power demand",Global investment in battery storage,Global investment in battery storage,,,,billion USD,$,B,incr,,Leadership,,0,25,,,World Energy Investment 2022 Datafile,,,enrgy_strg_invst.csv,private,driver,,,,1,1,
enrgy_strg_ptnt,"Modernize power grids, scale energy storage and manage power demand",New patents for energy storage,New patents for energy storage,,,,Number of patents,,,incr,,Innovation,,0,20000,,,Energy Technology Patents Data Explorer,2022-10-10,,enrgy_strg_ptnt.csv,private,driver,,,,,1,
env_crms,Eliminate harmful subsidies and financing,Number of countries that mandate the inclusion of environmental crimes in due diligence obligations and mechanisms,Countries including environmental crimes in due diligence obligations,,,,Number of countries,,,incr,,Strong institutions,,0,195,,,Consolidated assessment ratings,2022-06-23,,env_crms.csv,public,driver,,,,1,1,
env_tax_pct_rvnu,Price greenhouse gas emissions and other environmental externalities,Environmental tax revenue,Environmental tax revenue,,,,billion USD,$,B,incr,,,Cannot Calculate,0,,,,Environmentally related tax revenue database;Universal Ownership: Why environmental externalities matter to institutional investors,,,env_tax_pct_rvnu.csv,public,outcome,,,unlikely,1,1,
frght_ship_fuel,Transition to zero-carbon shipping and aviation,Number of major freight demanding companies committing to use zero-carbon shipping fuels by 2040,Freight companies committing to use zero-carbon shipping fuels by 2040,,,,Number of companies,,,incr,,Leadership,,0,10,,,Initiatives: Los Angeles - Shanghai Green Shipping Corridor,2022-06-27,,frght_ship_fuel.csv,public,driver,,,,1,1,1
fsl_dvst,Eliminate harmful subsidies and financing,Number of financial institutions committed to no new fossil fuel investment and to fossil fuel divestment,Financial institutions committed to fossil fuel divestment,,,,Number of financial institutions,,,incr,,Leadership,,0,2000,,,Global Fossil Fuel Divestment Commitments Database,2022-07-06,,fsl_dvst.csv,public,driver,,,,1,,1
fsl_subs,Eliminate harmful subsidies and financing,Fossil fuel subsidies,Fossil fuel subsidies,,,,billion USD,$,B,decr,1.9,,Off Track,0,1000,,,Fossil Fuel Subsidy Tracker,2022-02-16,,fsl_subs.csv,public,outcome,fsl_subs_2030,,unlikely,1,,
fvr_sstn_asst,Scale up private finance for climate and nature,Favorable voting on sustainable shareholder resolutions by asset managers,Favorable voting on sustainable resolutions by asset managers,,,,%,,%,incr,,Leadership,,0,50,,,Voting Matters 2021,,,fvr_sstn_asst.csv,public,driver,,,,1,1,1
ghg_cbn_prc,Price greenhouse gas emissions and other environmental externalities,Share of global GHG emissions covered by direct carbon pricing,GHG emissions covered by direct carbon pricing,,,,%,,%,incr,2.9,,Well Off Track,0,,,,Carbon Pricing Dashboard,,,ghg_cbn_prc.csv,public,outcome,ghg_cbn_prc_2030,,unlikely,1,1,
gov_hydro_dvlp,"Commercialize new solutions for cement, steel and plastics",Number of governments with published hydrogen strategies,Governments with published hydrogen strategies,,,,Number of governments,,,incr,,Regulation and Incentives,,0,30,,,Global Hydrogen Review 2021;Hydrogen – 10 Predictions for 2022,,,gov_hydro_dvlp.csv,private,driver,,,,1,1,
gov_zero_ship,Transition to zero-carbon shipping and aviation,Number of governments in Mission Innovation's Zero-Emission Shipping Mission,Governments in Mission Innovation's Zero-Emission Shipping Mission,,,,Number of governments,,,incr,,Leadership,,0,20,,,Zero Emission Shipping Industry Roadmap,,,gov_zero_ship.csv,public,driver,,,,1,1,1
