year,geo,value
2018,AUS,1.9717324
1994,AUT,4.457268849
1995,AUT,4.973464191
1996,AUT,5.081613718
1997,AUT,5.649321705
1998,AUT,5.514461487
1999,AUT,5.579860384
2000,AUT,5.94046849
2001,AUT,6.201363884
2002,AUT,6.476595985
2003,AUT,6.675362007
2004,AUT,6.639462353
2005,AUT,6.592140412
2006,AUT,6.309322702
2007,AUT,6.130350448
2008,AUT,5.96032133
2009,AUT,6.034557847
2010,AUT,5.997724211
2011,AUT,6.17694843
2012,AUT,6.046596342
2013,AUT,5.887320979
2014,AUT,5.90713934
2015,AUT,5.828120715
2016,AUT,5.93145873
2017,AUT,6.037077908
2018,AUT,5.703346665
2019,AUT,5.353082709
2020,AUT,5.000607223
1994,BEL,5.890074723
1995,BEL,5.865337585
1996,BEL,6.454532279
1997,BEL,6.440018754
1998,BEL,6.159801782
1999,BEL,6.183400423
2000,BEL,5.774517846
2001,BEL,5.75441144
2002,BEL,5.595336908
2003,BEL,5.752018483
2004,BEL,5.934220542
2005,BEL,5.80996913
2006,BEL,5.250994349
2007,BEL,5.169388818
2008,BEL,4.898426463
2009,BEL,5.193604339
2010,BEL,5.239555234
2011,BEL,5.265306888
2012,BEL,4.904697808
2013,BEL,4.6445734
2014,BEL,4.673979953
2015,BEL,4.745191721
2016,BEL,5.050463547
2017,BEL,5.11383947
2018,BEL,5.066670192
2019,BEL,5.020316337
2020,BEL,4.692448756
2000,BFA,5.116429842
2001,BFA,2.788512875
2002,BFA,6.65379313
2003,BFA,6.461818446
2004,BFA,6.416461282
2005,BFA,6.300004414
2006,BFA,5.934028291
2007,BFA,5.976823343
2008,BFA,5.624227192
2009,BFA,5.24936245
2010,BFA,4.761071656
2011,BFA,4.871818776
2012,BFA,5.097060077
2013,BFA,3.303223204
2014,BFA,5.37137874
2015,BFA,6.583294139
2016,BFA,6.343579954
2017,BFA,6.939581746
2018,BFA,6.881573963
2019,BFA,6.4319739
1995,BGR,5.95670711
1996,BGR,3.800014955
1997,BGR,3.967395362
1998,BGR,6.338203414
1999,BGR,7.088077864
2000,BGR,7.594534554
2001,BGR,7.595674656
2002,BGR,7.728375961
2003,BGR,9.134597765
2004,BGR,9.556687017
2005,BGR,9.684214721
2006,BGR,9.125357917
2007,BGR,10.47333591
2008,BGR,10.74637012
2009,BGR,10.62566427
2010,BGR,10.8129592
2011,BGR,10.48112343
2012,BGR,10.1577206
2013,BGR,10.11505208
2014,BGR,9.987149046
2015,BGR,10.23024686
2016,BGR,10.23516156
2017,BGR,9.377749258
2018,BGR,8.814141324
2019,BGR,9.846818242
2020,BGR,9.894680614
1994,BHS,12.0598616
1995,BHS,10.1854737
1996,BHS,9.331093142
1997,BHS,8.976189246
1998,BHS,8.845445187
1999,BHS,8.72995338
2000,BHS,8.078740978
2001,BHS,7.944240324
2002,BHS,8.969204418
2003,BHS,8.319103522
2004,BHS,9.042217481
2005,BHS,8.234287646
2006,BHS,7.771156351
2007,BHS,7.156665996
2008,BHS,6.868282074
2009,BHS,7.189332877
2010,BHS,7.129058021
2011,BHS,8.774973908
2012,BHS,8.862348912
2013,BHS,11.92998823
2014,BHS,10.34947939
2015,BHS,9.998705446
2016,BHS,8.518046983
2017,BHS,7.872931879
2018,BHS,8.57186319
2019,BHS,7.397635964
1994,BLZ,0.906000871
1995,BLZ,0.872379872
1996,BLZ,0.819004893
1997,BLZ,0.844162248
1998,BLZ,0.855556572
1999,BLZ,0.978649329
2000,BLZ,0.940671148
2001,BLZ,0.88636989
2002,BLZ,0.825656987
2003,BLZ,0.809977385
2004,BLZ,0.928373889
2005,BLZ,0.94773806
2006,BLZ,0.933593494
2007,BLZ,0.85617223
2008,BLZ,0.715027609
2009,BLZ,0.894089879
2010,BLZ,0.626058464
2011,BLZ,0.788868342
2012,BLZ,0.702522405
2013,BLZ,0.619483691
2014,BLZ,0.567505417
2015,BLZ,0.545936254
2016,BLZ,0.095312096
2017,BLZ,0.516118645
2018,BLZ,0.575074966
2019,BLZ,0.502465066
1994,BOL,0.620942197
1995,BOL,0.518856417
1996,BOL,1.314619929
1997,BOL,1.452546923
1998,BOL,3.884095371
1999,BOL,4.145688867
2000,BOL,15.32597049
2001,BOL,14.73662633
2002,BOL,13.87209194
2003,BOL,10.9441029
2004,BOL,9.027286338
2005,BOL,12.4266741
2006,BOL,11.47573324
2007,BOL,11.63818869
2008,BOL,9.994507437
2009,BOL,8.58693029
2010,BOL,7.095871855
2011,BOL,5.950816405
2012,BOL,5.1536001
2013,BOL,5.032588646
2014,BOL,4.736665039
2015,BOL,4.605829562
2016,BOL,5.267039957
2017,BOL,4.935046634
2018,BOL,4.755434893
2019,BOL,2.924635131
1994,BRA,0.588426304
1995,BRA,1.300350216
1996,BRA,1.408895628
1997,BRA,1.54691282
1998,BRA,1.667128613
1999,BRA,1.47528462
2000,BRA,1.502031459
2001,BRA,3.443239953
2002,BRA,3.051761473
2003,BRA,2.986346477
2004,BRA,2.634417856
2005,BRA,2.62577497
2006,BRA,2.809821201
2007,BRA,3.404076298
2008,BRA,3.232654322
2009,BRA,2.930347062
2010,BRA,3.184117263
2011,BRA,3.155937884
2012,BRA,2.598792411
2013,BRA,2.37517443
2014,BRA,2.429672825
2015,BRA,2.662741563
2016,BRA,2.744245534
2017,BRA,2.681746847
2018,BRA,2.53987642
2019,BRA,2.314994647
1994,BRB,0.0
1995,BRB,0.0
1996,BRB,0.0
1997,BRB,0.0
1998,BRB,0.0
1999,BRB,0.0
2000,BRB,0.0
2001,BRB,0.0
2002,BRB,0.0
2003,BRB,0.0
2004,BRB,0.0
2005,BRB,0.0
2006,BRB,0.0
2007,BRB,0.0
2008,BRB,0.0
2009,BRB,0.0
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,1.178680657
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,1.997759977
2019,BRB,2.385171775
2015,BTN,8.629441624
2016,BTN,9.053895873
2017,BTN,10.13658275
2018,BTN,12.64705693
2019,BTN,12.61550168
2004,BWA,4.782016577
2005,BWA,2.86261875
2006,BWA,2.886134149
2007,BWA,2.912608622
2008,BWA,2.404460368
2009,BWA,2.491760463
2010,BWA,2.533394941
2011,BWA,2.062772673
2012,BWA,2.482040759
2013,BWA,2.164426471
2014,BWA,1.524107498
2015,BWA,1.894806909
2016,BWA,1.599471168
2017,BWA,2.251654247
2018,BWA,2.375949029
2019,BWA,2.438307364
1994,CAN,4.456517651000006
1995,CAN,4.483398568
1996,CAN,4.37563704
1997,CAN,4.225977107
1998,CAN,4.267235639
1999,CAN,4.001443731
2000,CAN,3.800268098000001
2001,CAN,3.846291937
2002,CAN,4.00504803
2003,CAN,4.093733964
2004,CAN,3.8645110939999996
2005,CAN,3.698258807
2006,CAN,3.5955725000000003
2007,CAN,3.5503425550000003
2008,CAN,3.479227076
2009,CAN,3.634194257
2010,CAN,3.770480054
2011,CAN,3.743594585
2012,CAN,3.6940820960000003
2013,CAN,3.678265469
2014,CAN,3.5560740210000006
1994,CHE,6.166974054999999
1995,CHE,6.111760374
1996,CHE,6.125197537
1997,CHE,6.100008029
1998,CHE,6.37328234
1999,CHE,6.392262124
2000,CHE,6.336576799
2001,CHE,6.950317673000001
2002,CHE,6.925295183
2003,CHE,7.045749064
2004,CHE,6.987276377
2005,CHE,7.620291697000001
2006,CHE,7.285835234
2007,CHE,7.065420144999999
2008,CHE,6.03283175758346
2009,CHE,6.074670471396057
2010,CHE,6.0935650195613364
2011,CHE,5.980760738679894
2012,CHE,5.940288108758985
2013,CHE,5.697409288316867
2014,CHE,5.702916890464363
2015,CHE,5.52108523444375
2016,CHE,5.53766859614926
2017,CHE,5.444336269631279
2018,CHE,5.581832737062009
2019,CHE,4.413953884368873
2020,CHE,4.346489659872972
1994,CHL,6.117397037000001
1995,CHL,6.724286319
1996,CHL,7.199018146000001
1997,CHL,7.769942288000001
1998,CHL,7.1873824850000005
1999,CHL,9.183125439
2000,CHL,10.44985553
2001,CHL,8.325928033
2002,CHL,8.212041168
2003,CHL,7.766198518999999
2004,CHL,6.738492448
2005,CHL,6.196400838000001
2006,CHL,4.806325111
2007,CHL,4.974450681
2008,CHL,4.455163694
2009,CHL,5.461152434
2010,CHL,5.319636018
2011,CHL,5.107134948
2012,CHL,5.368330741
2013,CHL,5.799911207
2014,CHL,6.264495184
2015,CHL,5.9159892020000004
2016,CHL,6.127554793
2017,CHL,6.051744443325255
2018,CHL,6.10025956062686
2019,CHL,6.311511824386673
2020,CHL,6.663008553143783
2000,CHN,3.161174162
2001,CHN,4.745380081
2002,CHN,4.887447329
2003,CHN,5.487669625
2004,CHN,5.613815556
2005,CHN,5.329875632
2006,CHN,4.563600612
2007,CHN,5.836562911
2008,CHN,6.269433051
2009,CHN,9.131586022
2010,CHN,9.444693348
2011,CHN,8.770299788
2012,CHN,9.007444588
2013,CHN,5.640477698
2014,CHN,5.814169674
2015,CHN,5.610646814
2016,CHN,5.106886587
2017,CHN,5.465588419
2018,CHN,5.436400256
2019,CHN,2.689183608
1994,CIV,2.270986296
1995,CIV,1.753108802
1996,CIV,1.462524271
1997,CIV,1.063982719
1998,CIV,1.113800084
1999,CIV,1.15651001
2000,CIV,1.214083021
2001,CIV,1.729950701
2002,CIV,1.723222764
2003,CIV,1.27924278
2004,CIV,1.147166214
2005,CIV,1.200063236
2006,CIV,1.117729114
2007,CIV,1.084149102
2008,CIV,1.065350893
2009,CIV,1.022514193
2010,CIV,0.924723137
2011,CIV,0.412112624
2012,CIV,1.56261996
2013,CIV,1.531008804
2014,CIV,1.031713331
2015,CIV,0.932904473
2016,CIV,0.785612816
2017,CIV,0.856524884
2018,CIV,0.695573583
2019,CIV,0.787954109
1994,CMR,10.28304576
1995,CMR,8.226305989
1996,CMR,11.21002497
1997,CMR,10.07901813
1998,CMR,9.267772208
1999,CMR,8.970988376
2000,CMR,7.223887925
2001,CMR,7.295006614
2002,CMR,7.330360357
2003,CMR,6.89572284
2004,CMR,7.557650524
2005,CMR,6.722345117
2006,CMR,6.392577505
2007,CMR,5.785629635
2008,CMR,5.254867435
2009,CMR,5.297242947
2010,CMR,5.775163283
2011,CMR,5.116381543
2012,CMR,5.261594122
2013,CMR,5.234395069
2014,CMR,5.185144514
2015,CMR,4.238048328
2016,CMR,4.235178341
2017,CMR,4.512496332
2018,CMR,4.36172894
2019,CMR,4.309816428
2000,COD,7.801075505
2001,COD,10.20077115
2002,COD,16.73369094
2003,COD,23.6264598
2004,COD,21.33757616
2005,COD,24.56748287
2006,COD,22.62436756
2007,COD,21.91656854
2008,COD,22.27395361
2009,COD,20.651784
2010,COD,18.3883442
2011,COD,20.85086336
2012,COD,8.049835826
2013,COD,6.728708497
2014,COD,5.536530458
2015,COD,4.412341867
2016,COD,4.81255219
2017,COD,2.529589283
2018,COD,2.362869357
2019,COD,2.402540086
2000,COG,0.068200519
2001,COG,0.066923159
2002,COG,0.040310811
2003,COG,0.047141334
2004,COG,0.045771379
2005,COG,0.047603347
2006,COG,0.052121991
2007,COG,0.059991503
2008,COG,0.059056947
2009,COG,0.157371401
2010,COG,0.207911789
2011,COG,0.201919466
2012,COG,0.334903251
2013,COG,0.17668451
2014,COG,0.17768887
2015,COG,0.249676749
2016,COG,0.225068802
2017,COG,0.231124935
2018,COG,0.287349724
2019,COG,0.293605527
2010,COK,7.177384117
2011,COK,7.768308078
2012,COK,6.800009089
2013,COK,9.554509155
2014,COK,9.108435045
2015,COK,7.747365091
2016,COK,1.516780316
2017,COK,1.402286923
2018,COK,7.709695789
2019,COK,6.790377097
1994,COL,18.96284583
1995,COL,3.3491780560000004
1996,COL,3.614696254
1997,COL,3.050520863
1998,COL,2.857782441
1999,COL,3.026690879
2000,COL,5.849728199
2001,COL,6.063925095
2002,COL,5.497301355
2003,COL,5.909468759
2004,COL,5.414068279000001
2005,COL,5.865876501000001
2006,COL,5.243313269
2007,COL,5.186235641
2008,COL,5.257271716000001
2009,COL,5.360087733
2010,COL,5.098208282
2011,COL,4.881865994
2012,COL,4.411006017
2013,COL,4.136245524
2014,COL,4.157668062
2015,COL,4.166417836
2016,COL,4.292325281
2017,COL,2.9595084590119014
2018,COL,3.3067225775247557
2019,COL,2.938457389919255
2020,COL,2.9286484943305746
1994,CPV,0.0
1995,CPV,0.0
1996,CPV,0.0
1997,CPV,0.0
1998,CPV,0.0
1999,CPV,0.0
2000,CPV,1.143877653
2001,CPV,0.480987595
2002,CPV,0.737099376
2003,CPV,0.540780726
2004,CPV,0.677263076
2005,CPV,1.018795709
2006,CPV,0.961272633
2007,CPV,0.849500525
2008,CPV,0.775770671
2009,CPV,0.748154385
2010,CPV,1.04567796
2011,CPV,1.833643208
2012,CPV,2.038958172
2013,CPV,2.091003971
2014,CPV,2.140467843
2015,CPV,2.005903785
2016,CPV,2.182568474
2017,CPV,1.961253034
2018,CPV,1.830372164
2019,CPV,1.839376966
1994,CRI,1.958660245
1995,CRI,2.426724029
1996,CRI,1.938424653
1997,CRI,1.817207571
1998,CRI,2.137674373
1999,CRI,1.715265596
2000,CRI,2.119415467
2001,CRI,5.982227973
2008,CRI,9.81400097
2009,CRI,11.16767045
2010,CRI,10.74524758
2011,CRI,10.20015251
2012,CRI,9.891856608
2013,CRI,10.36448977
2014,CRI,9.990047757
2015,CRI,10.25818345
2016,CRI,9.947944824
2017,CRI,10.12747948
2018,CRI,9.807835516
2019,CRI,9.792078375
1995,CYP,10.51832461
1996,CYP,10.38301774
1997,CYP,9.38640819
1998,CYP,9.103653339
1999,CYP,8.902891877
2000,CYP,9.045330077
2001,CYP,9.792219966
2002,CYP,9.68576154
2003,CYP,12.00983688
2004,CYP,12.3942901
2005,CYP,10.68659203
2006,CYP,9.71037862
2007,CYP,8.791085542
2008,CYP,8.772573236
2009,CYP,8.826874291
2010,CYP,8.722192439
2011,CYP,8.72423086
2012,CYP,8.184572155
2013,CYP,8.585496062
2014,CYP,9.127106494
2015,CYP,9.247994953
2016,CYP,9.129546799
2017,CYP,9.18185632
2018,CYP,8.861159712
2019,CYP,7.417055104
2020,CYP,7.199486081
1994,CZE,7.677078017
1995,CZE,7.941738077
1996,CZE,7.653961735
1997,CZE,7.202795291
1998,CZE,7.398413751
1999,CZE,7.724789272
2000,CZE,7.5088004
2001,CZE,7.654713749
2002,CZE,7.338532634
2003,CZE,7.418105702
2004,CZE,7.593056507
2005,CZE,7.780432256
2006,CZE,7.578185515
2007,CZE,7.637173743
2008,CZE,7.713262135
2009,CZE,8.139382442
2010,CZE,8.086707188
2011,CZE,7.924983204
2012,CZE,7.648598844
2013,CZE,7.546318577
2014,CZE,7.558292807
2015,CZE,7.454555153
2016,CZE,7.304393963
2017,CZE,7.075013364
2018,CZE,7.240999392
2019,CZE,6.944189557
2020,CZE,7.271787969
1994,DEU,6.611496119
1995,DEU,6.436428571
1996,DEU,6.252079087
1997,DEU,6.055861167
1998,DEU,5.970525544
1999,DEU,6.196452349
2000,DEU,6.40633417
2001,DEU,7.122654922
2002,DEU,7.231749538
2003,DEU,7.579484643
2004,DEU,7.312485596
2005,DEU,7.102297962
2006,DEU,6.774487133
2007,DEU,6.200897744
2008,DEU,6.044655084
2009,DEU,6.191979687
2010,DEU,6.069179871
2011,DEU,6.035387414
2012,DEU,5.758147515
2013,DEU,5.577619448
2014,DEU,5.40915228
2015,DEU,5.15000031
2016,DEU,4.938564765
2017,DEU,4.297068286
2018,DEU,4.615104089
2019,DEU,4.556793663
2020,DEU,4.45190751
1994,DNK,7.847713607559931
1995,DNK,8.621861623860744
1996,DNK,9.071908504347041
1997,DNK,9.147198556072084
1998,DNK,10.42939092632167
1999,DNK,10.477884173789164
2000,DNK,9.794089828174926
2001,DNK,9.891372501264954
2002,DNK,10.311408601308546
2003,DNK,9.881758885131603
2004,DNK,10.221583582794356
2005,DNK,9.850132217544203
2006,DNK,9.615017768322524
2007,DNK,9.68873617703089
2008,DNK,9.038093495742691
2009,DNK,8.41618091786212
2010,DNK,8.414466062381539
2011,DNK,8.511307258838565
2012,DNK,8.183433283460765
2013,DNK,7.987422173523194
2014,DNK,7.815192962111325
2015,DNK,8.08990174716505
2016,DNK,8.134884503432698
2017,DNK,7.589840573186805
2018,DNK,7.765382587051663
2019,DNK,6.665034103996187
2020,DNK,6.377102322584855
1994,DOM,17.88938418
1995,DOM,18.27201731
1996,DOM,17.32513875
1997,DOM,18.9976604
1998,DOM,19.43240968
1999,DOM,12.33126054
2000,DOM,8.73630485
2001,DOM,14.39554978
2002,DOM,14.37175927
2003,DOM,14.21075625
2004,DOM,12.34194988
2005,DOM,12.04376671
2006,DOM,17.05251654
2007,DOM,17.65628089
2008,DOM,18.10031668
2009,DOM,17.13826526
2010,DOM,17.7463484
2011,DOM,18.02132317
2012,DOM,16.6081928
2013,DOM,14.68275261
2014,DOM,14.31021945
2015,DOM,13.90108972
2016,DOM,13.84107291
2017,DOM,14.13208186
2018,DOM,13.66813761
2019,DOM,13.54669307
1994,ECU,1.369336152
1995,ECU,1.5529218
1996,ECU,1.490101838
1997,ECU,2.120576148
1998,ECU,2.380140303
1999,ECU,1.972831146
2000,ECU,2.143987896
2001,ECU,2.53332003
2002,ECU,1.737608644
2003,ECU,1.573223562
2004,ECU,1.452944122
2005,ECU,1.548015868
2006,ECU,1.263688507
2007,ECU,1.252688687
2008,ECU,1.42590372
2009,ECU,1.694262548
2010,ECU,1.905811123
2011,ECU,1.743191217
2012,ECU,2.259487651
2013,ECU,2.397645488
2014,ECU,2.506928011
2015,ECU,2.232830653
2016,ECU,2.113644441
2017,ECU,2.181030756
2018,ECU,2.141008328
2019,ECU,1.963725407
2002,EGY,0.727961404
2003,EGY,1.252704271
2004,EGY,0.945822339
2005,EGY,0.931134423
2006,EGY,1.46775755
2007,EGY,1.531381206
2008,EGY,0.969801306
2009,EGY,3.89167506
2010,EGY,3.94967719
2011,EGY,3.781379738
2012,EGY,3.883076128
2013,EGY,4.313329112
2014,EGY,1.302479659
2015,EGY,3.37089337
2016,EGY,3.370843416
2017,EGY,6.278586735
2018,EGY,6.117442308
2019,EGY,5.472353051
1994,ESP,6.686653224
1995,ESP,6.778873493
1996,ESP,6.761285236
1997,ESP,6.394174839
1998,ESP,6.703156137999999
1999,ESP,6.795408261
2000,ESP,6.440027275
2001,ESP,6.161916693
2002,ESP,6.057845502
2003,ESP,6.036239280000001
2004,ESP,5.74354347
2005,ESP,5.392066872
2006,ESP,5.084539392
2007,ESP,4.873508865000001
2008,ESP,5.105939757
2009,ESP,5.45398974
2010,ESP,5.262499143
2011,ESP,5.087315318
2012,ESP,4.895310234
2013,ESP,5.813117248
2014,ESP,5.528176708680253
2015,ESP,5.711809983
2016,ESP,5.557396412
2017,ESP,5.386119283330109
2018,ESP,5.270826604008989
2019,ESP,5.087306365092463
2020,ESP,4.74398979881616
1994,EST,4.634337439
1995,EST,2.491188409
1996,EST,4.183337514
1997,EST,4.515119845
1998,EST,5.652389502
1999,EST,5.203887547
2000,EST,5.41763297
2001,EST,6.738672556361005
2002,EST,6.19397374237642
2003,EST,5.923937604347068
2004,EST,6.581092180298595
2005,EST,7.4151200728502
2006,EST,6.921549485342195
2007,EST,6.726700734672584
2008,EST,7.319249068316886
2009,EST,8.398553639818337
2010,EST,8.805913949380294
2011,EST,8.653991410649065
2012,EST,8.623362763023101
2013,EST,8.399388732417986
2014,EST,8.403803472768253
2015,EST,8.499856720667356
2016,EST,9.18524243821795
2017,EST,9.29083842400806
2018,EST,9.954411149847951
2019,EST,11.107712517913626
2020,EST,7.119457608486289
1994,FIN,6.151862824
1995,FIN,6.412679461
1996,FIN,6.495218901000001
1997,FIN,7.095961937
1998,FIN,7.066868351
1999,FIN,7.334959612
2000,FIN,6.537943226000001
2001,FIN,6.497977741
2002,FIN,6.68644838
2003,FIN,7.12543932
2004,FIN,6.950198390859544
2005,FIN,6.556202003376171
2006,FIN,6.3685799294253425
2007,FIN,5.880133838510521
2008,FIN,5.86694111725123
2009,FIN,5.7691990864509775
2010,FIN,5.997795910729671
2011,FIN,6.483331347734713
2012,FIN,5.924462392806951
2013,FIN,5.616150035286609
2014,FIN,5.78625345086777
2015,FIN,5.233622919869315
2016,FIN,5.854696930596559
2017,FIN,5.470305998438686
2018,FIN,5.672022693552059
2019,FIN,5.384184930536535
2020,FIN,5.179959728928726
2010,FJI,0.001533716
2011,FJI,3.924160099
2012,FJI,6.429658164
2013,FJI,5.618469954
2014,FJI,6.386552359
2015,FJI,6.249002759
2016,FJI,6.403149935
2017,FJI,5.590711297
2018,FJI,5.566904596
2019,FJI,5.871198688
1994,FRA,5.506238881000001
1995,FRA,5.851664469
1996,FRA,5.833450288
1997,FRA,5.736876534000001
1998,FRA,5.787878211
1999,FRA,5.549432541
2000,FRA,5.404695237
2001,FRA,5.045693109
2002,FRA,5.378420455
2003,FRA,5.307103913
2004,FRA,5.549513744
2005,FRA,5.343499596
2006,FRA,5.184123714
2007,FRA,5.037736784
2008,FRA,5.033632155000001
2009,FRA,5.233859887
2010,FRA,5.211634397
2011,FRA,5.143983184
2012,FRA,5.060377124
2013,FRA,5.142979488000001
2014,FRA,5.01279987704167
2015,FRA,5.0470543244989345
2016,FRA,5.044939481332853
2017,FRA,4.856363610222872
2018,FRA,4.817997750729183
2019,FRA,4.738323124965406
2020,FRA,4.380887080574659
1994,GBR,8.416907486
1995,GBR,8.371094204
1996,GBR,8.605322194
1997,GBR,8.510503603
1998,GBR,8.687140546
1999,GBR,8.652929376
2000,GBR,8.133400116999999
2001,GBR,7.678979137
2002,GBR,7.812332956
2003,GBR,7.747657332
2004,GBR,7.432775047
2005,GBR,6.937505393
2006,GBR,6.650858155
2007,GBR,6.844580045
2008,GBR,6.949462778
2009,GBR,7.669777679000001
2010,GBR,7.658841019
2011,GBR,7.415786952
2012,GBR,7.554393195
2013,GBR,7.551465607376305
2014,GBR,7.5142948931729014
2015,GBR,7.273344413697856
2016,GBR,7.238764908655451
2017,GBR,7.103991450021496
2018,GBR,6.982640000068284
2019,GBR,6.972935198101767
2020,GBR,6.318630942924283
2000,GHA,10.91220999
2001,GHA,8.874318493
2002,GHA,11.31598661
2003,GHA,15.81733364
2004,GHA,16.43023472
2005,GHA,17.19701403
2006,GHA,15.58015077
2007,GHA,12.69278891
2008,GHA,11.10230305
2009,GHA,7.155753045
2010,GHA,4.910948895
2011,GHA,5.078312546
2012,GHA,5.015139166
2013,GHA,4.351984453
2014,GHA,3.550390452
2015,GHA,10.29960733
2016,GHA,17.83687985
2017,GHA,13.42057741
2018,GHA,12.88425446
2019,GHA,12.47955281
2005,GNQ,3.276598135
2006,GNQ,2.533576755
2007,GNQ,3.037637475
2008,GNQ,1.36458243
2009,GNQ,1.460090456
2010,GNQ,3.107557879
2011,GNQ,2.985796554
2012,GNQ,1.813896625
2013,GNQ,1.892094998
2014,GNQ,1.89382035
2015,GNQ,3.510751479
2016,GNQ,6.85774212
2017,GNQ,6.137765321
2018,GNQ,5.962535388
2019,GNQ,3.895799224
1994,GRC,10.72183793
1995,GRC,11.10858097
1996,GRC,11.20092773
1997,GRC,10.01695665
1998,GRC,9.162881246
1999,GRC,8.063568878
2000,GRC,6.68064646
2001,GRC,6.918898901
2002,GRC,6.858239669
2003,GRC,6.851017003
2004,GRC,6.981039362
2005,GRC,6.632444179
2006,GRC,6.341932146
2007,GRC,6.35626436
2008,GRC,6.018711019
2009,GRC,6.777920762
2010,GRC,8.276023973
2011,GRC,8.64908326
2012,GRC,9.157696408
2013,GRC,10.20755886
2014,GRC,10.30272907
2015,GRC,10.46194388
2016,GRC,9.817543549
2017,GRC,10.28173668
2018,GRC,9.489365846
2019,GRC,9.784725003
2020,GRC,9.681080997
1994,GTM,9.674314904
1995,GTM,9.518802035
1996,GTM,7.579927805
1997,GTM,9.977390712
1998,GTM,11.83877784
1999,GTM,11.23966234
2000,GTM,10.34732707
2001,GTM,11.06940259
2002,GTM,9.418552244
2003,GTM,8.505070435
2004,GTM,9.048165169
2005,GTM,4.025257274
2006,GTM,8.113068787
2007,GTM,7.482065108
2008,GTM,6.937082576
2009,GTM,7.83565777
2010,GTM,7.239139714
2011,GTM,6.348644353
2012,GTM,5.917591752
2013,GTM,6.283147831
2014,GTM,5.694690794
2015,GTM,6.88975605
2016,GTM,6.587999556
2017,GTM,6.509614081
2018,GTM,6.528964389
2019,GTM,6.641869681
1994,GUY,3.36298119
1995,GUY,3.573848671
1996,GUY,3.760279691
1997,GUY,3.98074235
1998,GUY,4.429783046
1999,GUY,4.274736372
2000,GUY,4.516730924
2001,GUY,5.082842683
2002,GUY,4.729527455
2003,GUY,4.51042925
2004,GUY,4.351643107
2005,GUY,4.391489536
2006,GUY,3.956636793
2007,GUY,2.430827835
2008,GUY,13.22650405
2009,GUY,20.16668687
2010,GUY,17.70681556
2011,GUY,15.98238682
2012,GUY,15.31257022
2013,GUY,17.74117562
2014,GUY,17.11239083
2015,GUY,19.17596195
2016,GUY,16.44724329
2017,GUY,16.77768705
2018,GUY,17.61000259
2019,GUY,17.2863459
1994,HND,10.49589329
1995,HND,9.807607611
1996,HND,10.25169745
1997,HND,7.823139432
1998,HND,12.18143673
1999,HND,15.81165251
2000,HND,14.24266252
2001,HND,16.34915231
2002,HND,15.42715661
2003,HND,14.96922376
2004,HND,16.45352771
2005,HND,14.90772394
2006,HND,13.55261491
2007,HND,12.08276752
2008,HND,10.85426844
2009,HND,12.29917756
2010,HND,11.52877825
2011,HND,10.42030691
2012,HND,10.47230719
2013,HND,10.83539606
2014,HND,10.87203268
2015,HND,10.98252624
2016,HND,10.57148518
2017,HND,10.92332963
2018,HND,10.43223938
2019,HND,10.71946854
1995,HRV,6.113076943
