year,geo,disagg,value
2013,BRA,Provision of infrastructure,63.58196786999999
2013,BRA,Transfers based on input use,10.27108289
2013,BRA,Total,245.82973756
2014,BRA,Marketing and promotion,0.0
2014,BRA,Miscellaneous support for services to the sector,27.784957789999996
2014,BRA,Provision of infrastructure,125.0965557
2014,BRA,Transfers based on input use,11.541600679999998
2014,BRA,Total,164.42311417
2015,BRA,Marketing and promotion,0.0
2015,BRA,Miscellaneous support for services to the sector,32.63175618
2015,BRA,Provision of infrastructure,155.004111
2015,BRA,Transfers based on input use,5.5886439039999996
2015,BRA,Total,193.224511084
2016,BRA,Marketing and promotion,4.267486539
2016,BRA,Miscellaneous support for services to the sector,0.0
2016,BRA,Provision of infrastructure,11.77232926
2016,BRA,Transfers based on input use,3.8206699019999997
2016,BRA,Total,19.860485700999998
2017,BRA,Marketing and promotion,6.766963628999999
2017,BRA,Miscellaneous support for services to the sector,0.0
2017,BRA,Provision of infrastructure,8.553827195
2017,BRA,Transfers based on input use,3.6969595129999995
2017,BRA,Total,19.017750337
2018,BRA,Marketing and promotion,1.394953726
2018,BRA,Miscellaneous support for services to the sector,25.05419073
2018,BRA,Provision of infrastructure,10.83308498
2018,BRA,Transfers based on input use,2.8409566219999998
2018,BRA,Total,40.123186058
2010,CAN,Marketing and promotion,2.70603014
2010,CAN,Provision of infrastructure,197.5355871
2010,CAN,Total,200.24161723999998
2011,CAN,Marketing and promotion,2.74176912
2011,CAN,Provision of infrastructure,161.6323402
2011,CAN,Total,164.37410931999997
2012,CAN,Marketing and promotion,2.36650255
2012,CAN,Provision of infrastructure,108.89570059999998
2012,CAN,Total,111.26220314999998
2013,CAN,Marketing and promotion,1.672765435
2013,CAN,Provision of infrastructure,93.18177727999999
2013,CAN,Total,94.854542715
2014,CAN,Marketing and promotion,0.45422626299999996
2014,CAN,Provision of infrastructure,91.59306545999999
2014,CAN,Total,92.04729172299999
2015,CAN,Marketing and promotion,1.690421963
2015,CAN,Provision of infrastructure,168.9690663
2015,CAN,Total,170.65948826300001
2016,CAN,Marketing and promotion,1.90210321
2016,CAN,Provision of infrastructure,216.55835159999998
2016,CAN,Total,218.46045481
2017,CAN,Marketing and promotion,1.81083905
2017,CAN,Provision of infrastructure,160.70378169999998
2017,CAN,Total,162.51462074999998
2018,CAN,Marketing and promotion,0.43724370929999995
2018,CAN,Provision of infrastructure,75.9609244
2018,CAN,Total,76.3981681093
2010,CHL,Marketing and promotion,5.694519167999999
2010,CHL,Provision of infrastructure,2.114586092
2010,CHL,Transfers based on input use,0.4447219267
2010,CHL,Total,8.253827186699999
2011,CHL,Marketing and promotion,6.134613244
2011,CHL,Provision of infrastructure,0.9914756297999999
2011,CHL,Transfers based on input use,0.3433860934
2011,CHL,Total,7.4694749672
2012,CHL,Marketing and promotion,4.040258767
2012,CHL,Provision of infrastructure,5.340302306
2012,CHL,Transfers based on input use,3.487976896
2012,CHL,Total,12.868537968999998
2013,CHL,Marketing and promotion,9.37830091
2013,CHL,Provision of infrastructure,1.5605263349999998
2013,CHL,Transfers based on input use,8.591273914
2013,CHL,Total,19.530101159
2014,CHL,Marketing and promotion,5.473366041
2014,CHL,Provision of infrastructure,1.216712465
2014,CHL,Transfers based on input use,2.4467434019999996
2014,CHL,Total,9.136821908
2015,CHL,Marketing and promotion,2.674370165
2015,CHL,Provision of infrastructure,5.213791542
2015,CHL,Transfers based on input use,2.899030097
2015,CHL,Total,10.787191803999999
2016,CHL,Marketing and promotion,5.504031177
2016,CHL,Provision of infrastructure,7.945422344999999
2016,CHL,Transfers based on input use,2.862799791
2016,CHL,Total,16.312253313
2017,CHL,Marketing and promotion,1.620849208
2017,CHL,Provision of infrastructure,7.278942906999999
2017,CHL,Transfers based on input use,5.340847473
2017,CHL,Total,14.240639588
2018,CHL,Marketing and promotion,2.957475787
2018,CHL,Provision of infrastructure,7.2464243559999995
2018,CHL,Transfers based on input use,3.7351675319999997
2018,CHL,Total,13.939067674999999
2010,CHN,Provision of infrastructure,40.26614323
2010,CHN,Transfers based on input use,2539.405537
2010,CHN,Total,2579.67168023
2011,CHN,Provision of infrastructure,54.66358228
2011,CHN,Transfers based on input use,3711.801129
2011,CHN,Total,3766.46471128
2012,CHN,Provision of infrastructure,33.58990865999999
2012,CHN,Transfers based on input use,6205.264453
2012,CHN,Total,6238.85436166
2013,CHN,Provision of infrastructure,0.0
2013,CHN,Transfers based on input use,6235.486025
2013,CHN,Total,6235.486025
2014,CHN,Provision of infrastructure,64.93412242
2014,CHN,Transfers based on input use,4795.410752
2014,CHN,Total,4860.3448744199995
2015,CHN,Provision of infrastructure,416.4578534
2015,CHN,Transfers based on input use,3847.898699
2015,CHN,Total,4264.3565524
2016,CHN,Miscellaneous support for services to the sector,338.5679982
2016,CHN,Provision of infrastructure,344.5984282
2016,CHN,Transfers based on input use,2824.0285799999997
2016,CHN,Total,3507.1950064
2017,CHN,Miscellaneous support for services to the sector,657.1931284
2017,CHN,Provision of infrastructure,242.72031299999998
2017,CHN,Transfers based on input use,2403.8990209999997
2017,CHN,Total,3303.8124623999997
2010,COL,Marketing and promotion,0.0
2010,COL,Provision of infrastructure,0.0
2010,COL,Transfers based on input use,0.3758304144
2010,COL,Total,0.3758304144
2011,COL,Marketing and promotion,0.0
2011,COL,Provision of infrastructure,0.0
2011,COL,Transfers based on input use,0.7386978352
2011,COL,Total,0.7386978352
2012,COL,Marketing and promotion,0.0
2012,COL,Provision of infrastructure,0.0
2012,COL,Transfers based on input use,0.9264736273999999
2012,COL,Total,0.9264736273999999
2013,COL,Marketing and promotion,0.0
2013,COL,Provision of infrastructure,0.0
2013,COL,Transfers based on input use,4.233791764
2013,COL,Total,4.233791764
2014,COL,Marketing and promotion,0.0
2014,COL,Provision of infrastructure,0.0
2014,COL,Transfers based on input use,2.6941945219999996
2014,COL,Total,2.6941945219999996
2015,COL,Marketing and promotion,0.0
2015,COL,Provision of infrastructure,0.0
2015,COL,Transfers based on input use,1.7264791910000001
2015,COL,Total,1.7264791910000001
2016,COL,Transfers based on input use,1.8284281159999998
2016,COL,Total,1.8284281159999998
2017,COL,Transfers based on input use,2.317755331
2017,COL,Total,2.317755331
2010,CRI,Provision of infrastructure,0.08484682100999999
2010,CRI,Tax exemptions,10.07368546
2010,CRI,Total,10.15853228101
2011,CRI,Provision of infrastructure,0.468503422
2011,CRI,Tax exemptions,11.114745300000001
2011,CRI,Total,11.583248722
2012,CRI,Provision of infrastructure,0.02524193687
2012,CRI,Tax exemptions,11.835428789999998
2012,CRI,Total,11.860670726869998
2013,CRI,Tax exemptions,13.79826125
2013,CRI,Total,13.79826125
2014,CRI,Tax exemptions,16.46634885
2014,CRI,Total,16.46634885
2015,CRI,Tax exemptions,8.818772932
2015,CRI,Total,8.818772932
2016,CRI,Tax exemptions,11.61510846
2016,CRI,Total,11.61510846
2017,CRI,Tax exemptions,15.308288529999999
2017,CRI,Total,15.308288529999999
2018,CRI,Tax exemptions,11.04167927
2018,CRI,Total,11.04167927
2014,DEU,Marketing and promotion,0.398653227
2014,DEU,Miscellaneous support for services to the sector,19.96021626
2014,DEU,Provision of infrastructure,15.477434269999998
2014,DEU,Transfers based on input use,0.7919634448999999
2014,DEU,Total,36.628267201899995
2015,DEU,Marketing and promotion,0.2757197257
2015,DEU,Miscellaneous support for services to the sector,16.92615472
2015,DEU,Provision of infrastructure,12.469912359999999
2015,DEU,Transfers based on input use,0.3756463281
2015,DEU,Total,30.0474331338
2016,DEU,Marketing and promotion,0.03331609582
2016,DEU,Provision of infrastructure,0.0
2016,DEU,Transfers based on input use,0.1239459136
2016,DEU,Total,0.15726200942000002
2017,DEU,Marketing and promotion,0.23715889829999998
2017,DEU,Provision of infrastructure,0.43098315649999996
2017,DEU,Transfers based on input use,0.5058879503999999
2017,DEU,Total,1.1740300051999997
2018,DEU,Marketing and promotion,0.8809655133
2018,DEU,Provision of infrastructure,1.44290301
2018,DEU,Transfers based on input use,0.5183006719
2018,DEU,Total,2.8421691952
2010,DNK,Marketing and promotion,1.955723087
2010,DNK,Miscellaneous support for services to the sector,2.560521959
2010,DNK,Provision of infrastructure,2.152352201
2010,DNK,Tax exemptions,45.617272719999995
2010,DNK,Transfers based on input use,0.8182495969
2010,DNK,Total,53.1041195639
2011,DNK,Marketing and promotion,1.850214405
2011,DNK,Miscellaneous support for services to the sector,5.373540718
2011,DNK,Provision of infrastructure,2.2917371949999996
2011,DNK,Tax exemptions,44.084507359999996
2011,DNK,Transfers based on input use,7.267296511
2011,DNK,Total,60.867296188999994
2012,DNK,Marketing and promotion,1.2316803619999999
2012,DNK,Miscellaneous support for services to the sector,3.457874704
2012,DNK,Provision of infrastructure,3.287811566
2012,DNK,Tax exemptions,37.683763389999996
2012,DNK,Transfers based on input use,1.1602651599999998
2012,DNK,Total,46.821395181999996
2013,DNK,Marketing and promotion,2.191643262
2013,DNK,Miscellaneous support for services to the sector,3.7490468969999995
2013,DNK,Provision of infrastructure,5.005031476999999
2013,DNK,Tax exemptions,44.069067829999995
2013,DNK,Transfers based on input use,1.2261395549999998
2013,DNK,Total,56.240929021
2014,DNK,Marketing and promotion,2.789359038
2014,DNK,Miscellaneous support for services to the sector,3.190064696
2014,DNK,Provision of infrastructure,8.720252211999998
2014,DNK,Tax exemptions,44.283311729999994
2014,DNK,Transfers based on input use,2.9124689360000002
2014,DNK,Total,61.895456612
2015,DNK,Marketing and promotion,1.240592746
2015,DNK,Miscellaneous support for services to the sector,1.5184247919999998
2015,DNK,Provision of infrastructure,3.9353926239999995
2015,DNK,Tax exemptions,37.52053778
2015,DNK,Transfers based on input use,0.23447661209999998
2015,DNK,Total,44.4494245541
2016,DNK,Marketing and promotion,2.270113252
2016,DNK,Miscellaneous support for services to the sector,3.890328281
2016,DNK,Tax exemptions,37.5937007
2016,DNK,Transfers based on input use,4.908512029
2016,DNK,Total,48.662654262
2017,DNK,Marketing and promotion,0.1629274389
2017,DNK,Provision of infrastructure,1.892371335
2017,DNK,Tax exemptions,38.09995203
2017,DNK,Transfers based on input use,4.792904833
2017,DNK,Total,44.9481556369
2018,DNK,Marketing and promotion,1.2036353789999998
2018,DNK,Provision of infrastructure,0.5969635175
2018,DNK,Tax exemptions,42.43769334
2018,DNK,Transfers based on input use,3.420511155
2018,DNK,Total,47.6588033915
2010,ESP,Marketing and promotion,18.11116698
2010,ESP,Miscellaneous support for services to the sector,27.63043844
2010,ESP,Provision of infrastructure,18.943818999999998
2010,ESP,Transfers based on input use,6.621550889999999
2010,ESP,Total,71.30697531
2011,ESP,Marketing and promotion,10.98021913
2011,ESP,Miscellaneous support for services to the sector,18.132830600000002
2011,ESP,Provision of infrastructure,20.18970337
2011,ESP,Transfers based on input use,5.211245411999999
2011,ESP,Total,54.513998512
2012,ESP,Marketing and promotion,10.3747184
2012,ESP,Miscellaneous support for services to the sector,10.36827907
2012,ESP,Provision of infrastructure,9.218107637
2012,ESP,Transfers based on input use,4.095206372
2012,ESP,Total,34.056311479
2013,ESP,Marketing and promotion,3.016636153
2013,ESP,Miscellaneous support for services to the sector,7.319364874
2013,ESP,Provision of infrastructure,9.554280331
2013,ESP,Transfers based on input use,4.880591025
2013,ESP,Total,24.770872383
2014,ESP,Marketing and promotion,4.563803035
2014,ESP,Miscellaneous support for services to the sector,9.831887444
2014,ESP,Provision of infrastructure,10.85011217
2014,ESP,Transfers based on input use,3.338867911
2014,ESP,Total,28.58467056
2015,ESP,Marketing and promotion,7.419073152999999
2015,ESP,Miscellaneous support for services to the sector,12.135319869999998
2015,ESP,Provision of infrastructure,17.25977485
2015,ESP,Transfers based on input use,4.683445206
2015,ESP,Total,41.497613079
2016,ESP,Marketing and promotion,4.3621961879999995
2016,ESP,Miscellaneous support for services to the sector,0.008513830893
2016,ESP,Provision of infrastructure,0.3455284231
2016,ESP,Transfers based on input use,0.06977537207
2016,ESP,Total,4.786013814063
2017,ESP,Marketing and promotion,6.642217754
2017,ESP,Miscellaneous support for services to the sector,0.013630032939999998
2017,ESP,Provision of infrastructure,1.218539182
2017,ESP,Transfers based on input use,3.252607999
2017,ESP,Total,11.12699496794
2018,ESP,Marketing and promotion,4.3996858880000005
2018,ESP,Provision of infrastructure,2.157065884
2018,ESP,Transfers based on input use,2.692967547
2018,ESP,Total,9.249719319
2010,EST,Miscellaneous support for services to the sector,6.251577187
2010,EST,Provision of infrastructure,0.5942230027
2010,EST,Tax exemptions,0.49407217589999997
2010,EST,Transfers based on input use,1.175899804
2010,EST,Total,8.5157721696
2011,EST,Miscellaneous support for services to the sector,3.341917185
2011,EST,Provision of infrastructure,0.6313751966
2011,EST,Tax exemptions,0.5079321212
2011,EST,Transfers based on input use,0.5549887247
2011,EST,Total,5.0362132275
2012,EST,Marketing and promotion,0.8511988608
2012,EST,Miscellaneous support for services to the sector,2.625876211
2012,EST,Tax exemptions,0.44204402919999997
2012,EST,Transfers based on input use,0.5400368203
2012,EST,Total,4.4591559213
2013,EST,Marketing and promotion,1.031256359
2013,EST,Miscellaneous support for services to the sector,0.43737557969999996
2013,EST,Provision of infrastructure,0.040387753320000004
2013,EST,Tax exemptions,0.3656443067
2013,EST,Transfers based on input use,0.1579933227
2013,EST,Total,2.03265732142
2014,EST,Marketing and promotion,0.7525177879
2014,EST,Miscellaneous support for services to the sector,2.09722594
2014,EST,Provision of infrastructure,5.123992171
2014,EST,Tax exemptions,0.3656584541
2014,EST,Transfers based on input use,0.8853248005
2014,EST,Total,9.224719153499999
2015,EST,Marketing and promotion,0.6786509338999999
2015,EST,Miscellaneous support for services to the sector,1.2411913689999998
2015,EST,Provision of infrastructure,0.17502880059999998
2015,EST,Tax exemptions,0.3279820964
2015,EST,Transfers based on input use,0.1229050951
2015,EST,Total,2.5457582949999997
2016,EST,Marketing and promotion,0.37291483899999994
2016,EST,Tax exemptions,0.3313503495
2016,EST,Total,0.7042651885
2017,EST,Marketing and promotion,0.45608919859999997
2017,EST,Tax exemptions,0.41800473599999993
2017,EST,Transfers based on input use,0.017321469659999998
2017,EST,Total,0.8914154042599999
2018,EST,Marketing and promotion,0.5925958813
2018,EST,Tax exemptions,0.4457690137
2018,EST,Transfers based on input use,2.3163640780000003
2018,EST,Total,3.3547289730000003
2010,FRA,Marketing and promotion,3.6536593629999996
2010,FRA,Miscellaneous support for services to the sector,19.908214289999997
2010,FRA,Provision of infrastructure,4.009079592
2010,FRA,Transfers based on input use,11.8587918
2010,FRA,Total,39.429745045
2011,FRA,Marketing and promotion,2.757558978
2011,FRA,Miscellaneous support for services to the sector,15.91131218
2011,FRA,Provision of infrastructure,5.974694492999999
2011,FRA,Transfers based on input use,6.278759081
2011,FRA,Total,30.922324731999996
2012,FRA,Marketing and promotion,0.9041339266999999
2012,FRA,Miscellaneous support for services to the sector,18.084188239999996
2012,FRA,Provision of infrastructure,6.999979701
2012,FRA,Transfers based on input use,18.085325379999997
2012,FRA,Total,44.07362724769999
2013,FRA,Marketing and promotion,2.4925230669999996
2013,FRA,Miscellaneous support for services to the sector,17.55809437
2013,FRA,Provision of infrastructure,26.691424339999998
2013,FRA,Transfers based on input use,8.254836532999999
2013,FRA,Total,54.99687831
2016,FRA,Marketing and promotion,0.7356724429
2016,FRA,Total,0.7356724429
2017,FRA,Marketing and promotion,0.5134103448
2017,FRA,Transfers based on input use,0.2331894117
2017,FRA,Total,0.7465997565
2018,FRA,Marketing and promotion,2.057450281
2018,FRA,Transfers based on input use,1.096401693
2018,FRA,Total,3.153851974
2010,GBR,Marketing and promotion,0.4586707027
2010,GBR,Miscellaneous support for services to the sector,3.6618485819999997
2010,GBR,Provision of infrastructure,13.00217582
2010,GBR,Tax exemptions,0.0
2010,GBR,Transfers based on input use,2.707708124
2010,GBR,Total,19.8304032287
2011,GBR,Marketing and promotion,0.7124788429
2011,GBR,Miscellaneous support for services to the sector,3.758439673
2011,GBR,Provision of infrastructure,8.945964895
2011,GBR,Tax exemptions,0.0
2011,GBR,Transfers based on input use,2.757297338
2011,GBR,Total,16.1741807489
2012,GBR,Marketing and promotion,0.45634697999999996
2012,GBR,Miscellaneous support for services to the sector,3.933072694
2012,GBR,Provision of infrastructure,13.52147276
2012,GBR,Tax exemptions,0.0
2012,GBR,Transfers based on input use,1.470055584
2012,GBR,Total,19.380948018
2013,GBR,Marketing and promotion,1.212888271
2013,GBR,Miscellaneous support for services to the sector,6.130974048000001
2013,GBR,Provision of infrastructure,10.89670084
2013,GBR,Tax exemptions,0.0
2013,GBR,Transfers based on input use,3.421330004
2013,GBR,Total,21.661893163000002
2014,GBR,Marketing and promotion,1.059368091
2014,GBR,Miscellaneous support for services to the sector,7.050955065999999
2014,GBR,Provision of infrastructure,12.695654489999999
2014,GBR,Tax exemptions,0.0
2014,GBR,Transfers based on input use,2.825951339
2014,GBR,Total,23.631928986
2015,GBR,Marketing and promotion,0.775329294
2015,GBR,Miscellaneous support for services to the sector,16.82068385
2015,GBR,Provision of infrastructure,12.87764127
2015,GBR,Tax exemptions,0.0
2015,GBR,Transfers based on input use,1.6270364299999998
2015,GBR,Total,32.100690844
2016,GBR,Marketing and promotion,0.3600440733
2016,GBR,Miscellaneous support for services to the sector,2.1198693659999996
2016,GBR,Provision of infrastructure,2.255625705
2016,GBR,Tax exemptions,0.0
2016,GBR,Transfers based on input use,0.8559396868
2016,GBR,Total,5.5914788311
2017,GBR,Marketing and promotion,0.5902886112
2017,GBR,Miscellaneous support for services to the sector,0.05702838178
2017,GBR,Provision of infrastructure,2.319896475
2017,GBR,Transfers based on input use,3.38914916
2017,GBR,Total,6.35636262798
2018,GBR,Marketing and promotion,0.6714757576
2018,GBR,Miscellaneous support for services to the sector,0.0001900649247
2018,GBR,Provision of infrastructure,8.667693403000001
2018,GBR,Transfers based on input use,5.104641479
2018,GBR,Total,14.4440007045247
2010,GRC,Marketing and promotion,-0.6161896483
2010,GRC,Provision of infrastructure,4.5790486459999995
2010,GRC,Transfers based on input use,-0.2435290093
2010,GRC,Total,3.7193299883999997
2011,GRC,Provision of infrastructure,3.701758455
2011,GRC,Total,3.701758455
2012,GRC,Marketing and promotion,0.1763430653
2012,GRC,Provision of infrastructure,5.962330298
2012,GRC,Total,6.138673363300001
2013,GRC,Marketing and promotion,0.567117122
2013,GRC,Provision of infrastructure,5.5449223210000005
2013,GRC,Transfers based on input use,0.4057771807
2013,GRC,Total,6.517816623700001
2014,GRC,Marketing and promotion,0.9446445406999999
2014,GRC,Miscellaneous support for services to the sector,0.12471886169999999
2014,GRC,Provision of infrastructure,5.249885247999999
2014,GRC,Transfers based on input use,0.6665267864
2014,GRC,Total,6.985775436799999
2015,GRC,Marketing and promotion,0.3849834901
2015,GRC,Miscellaneous support for services to the sector,0.7052757674999999
2015,GRC,Provision of infrastructure,10.45277699
2015,GRC,Transfers based on input use,1.589248863
2015,GRC,Total,13.1322851106
2016,GRC,Provision of infrastructure,0.0
2016,GRC,Total,0.0
2017,GRC,Provision of infrastructure,0.43426597299999997
2017,GRC,Total,0.43426597299999997
2018,GRC,Provision of infrastructure,5.177180569
2018,GRC,Total,5.177180569
2011,IDN,Transfers based on input use,52.125856569999996
2011,IDN,Total,52.125856569999996
2012,IDN,Transfers based on input use,48.81483625999999
2012,IDN,Total,48.81483625999999
2013,IDN,Transfers based on input use,43.700317139999996
2013,IDN,Total,43.700317139999996
2015,IDN,Transfers based on input use,0.010271880609999999
2015,IDN,Total,0.010271880609999999
2016,IDN,Transfers based on input use,0.01033242748
2016,IDN,Total,0.01033242748
2017,IDN,Transfers based on input use,0.01027539593
2017,IDN,Total,0.01027539593
2018,IDN,Transfers based on input use,0.009660729203999999
2018,IDN,Total,0.009660729203999999
2016,IND,Provision of infrastructure,3.4047020199999998
2016,IND,Transfers based on input use,2.4816197719999997
2016,IND,Total,5.8863217919999995
2017,IND,Provision of infrastructure,0.9725787222
2017,IND,Transfers based on input use,18.14539503
2017,IND,Total,19.1179737522
2018,IND,Miscellaneous support for services to the sector,0.020099515449999997
2018,IND,Provision of infrastructure,3.8442991049999997
2018,IND,Transfers based on input use,4.009636988
2018,IND,Total,7.874035608449999
2014,IRL,Marketing and promotion,1.026095245
2014,IRL,Tax exemptions,43.025751729999996
2014,IRL,Transfers based on input use,2.0825170749999997
2014,IRL,Total,46.134364049999995
2015,IRL,Marketing and promotion,0.9589909851
2015,IRL,Provision of infrastructure,11.47569478
2015,IRL,Transfers based on input use,1.27598303
2015,IRL,Total,13.710668795099998
2016,IRL,Marketing and promotion,2.7238191830000003
2016,IRL,Provision of infrastructure,0.0
2016,IRL,Transfers based on input use,2.3199375939999998
2016,IRL,Total,5.0437567770000005
2017,IRL,Marketing and promotion,2.153615816
2017,IRL,Provision of infrastructure,0.7295646106999999
2017,IRL,Transfers based on input use,0.529336177
2017,IRL,Total,3.4125166036999994
2018,IRL,Marketing and promotion,4.149269036
2018,IRL,Provision of infrastructure,10.21628982
2018,IRL,Transfers based on input use,0.5580769448999999
2018,IRL,Total,14.9236358009
2010,ISL,Miscellaneous support for services to the sector,0.11452672779999999
2010,ISL,Total,0.11452672779999999
2011,ISL,Miscellaneous support for services to the sector,0.11201299299999999
2011,ISL,Total,0.11201299299999999
2012,ISL,Miscellaneous support for services to the sector,0.1678412255
2012,ISL,Total,0.1678412255
2013,ISL,Miscellaneous support for services to the sector,0.1718952758
2013,ISL,Total,0.1718952758
2014,ISL,Miscellaneous support for services to the sector,0.1773961116
2014,ISL,Total,0.1773961116
2015,ISL,Miscellaneous support for services to the sector,0.166797974
2015,ISL,Total,0.166797974
2016,ISL,Miscellaneous support for services to the sector,0.19034159779999998
2016,ISL,Provision of infrastructure,0.2689609535
2016,ISL,Total,0.4593025513
2017,ISL,Miscellaneous support for services to the sector,0.3370046918
2017,ISL,Provision of infrastructure,0.29019848460000003
2017,ISL,Total,0.6272031764
2018,ISL,Miscellaneous support for services to the sector,0.443339047
2018,ISL,Provision of infrastructure,0.28632313449999997
2018,ISL,Total,0.7296621815
2010,ITA,Marketing and promotion,3.392250497
2010,ITA,Miscellaneous support for services to the sector,30.249113559999998
2010,ITA,Provision of infrastructure,0.6695530228
2010,ITA,Transfers based on input use,1.579486627
2010,ITA,Total,35.8904037068
2011,ITA,Marketing and promotion,6.998787094999999
2011,ITA,Miscellaneous support for services to the sector,36.72064293
2011,ITA,Provision of infrastructure,8.095250559999998
2011,ITA,Transfers based on input use,4.167829594
2011,ITA,Total,55.98251017899999
2012,ITA,Marketing and promotion,3.7882336039999998
2012,ITA,Miscellaneous support for services to the sector,25.49882917
2012,ITA,Provision of infrastructure,10.043566539999999
2012,ITA,Transfers based on input use,5.271903894
2012,ITA,Total,44.602533208
2013,ITA,Marketing and promotion,1.441567192
2013,ITA,Miscellaneous support for services to the sector,14.490867109999998
2013,ITA,Provision of infrastructure,16.00763343
2013,ITA,Transfers based on input use,3.2620173489999997
2013,ITA,Total,35.20208508099999
2014,ITA,Marketing and promotion,2.766373654
2014,ITA,Miscellaneous support for services to the sector,16.0687671
2014,ITA,Provision of infrastructure,23.77840809
2014,ITA,Transfers based on input use,2.1187427039999998
2014,ITA,Total,44.73229154799999
2015,ITA,Marketing and promotion,11.47536433
2015,ITA,Miscellaneous support for services to the sector,15.07210157
2015,ITA,Provision of infrastructure,14.12791506
2015,ITA,Transfers based on input use,2.901340119
2015,ITA,Total,43.576721078999995
2016,ITA,Marketing and promotion,11.27141489
2016,ITA,Miscellaneous support for services to the sector,12.55991957
2016,ITA,Provision of infrastructure,12.26779731
2016,ITA,Transfers based on input use,1.815883905
2016,ITA,Total,37.915015675
2017,ITA,Marketing and promotion,3.3474343209999997
2017,ITA,Miscellaneous support for services to the sector,3.2587276320000003
2017,ITA,Total,6.606161953
2018,ITA,Marketing and promotion,7.946203747999999
2018,ITA,Miscellaneous support for services to the sector,0.1241218705
2018,ITA,Transfers based on input use,0.2994968332
2018,ITA,Total,8.3698224517
2014,JPN,Marketing and promotion,9.854960967
2014,JPN,Miscellaneous support for services to the sector,75.19260118999999
2014,JPN,Provision of infrastructure,688.2826582999999
2014,JPN,Total,773.3302204569999
2015,JPN,Marketing and promotion,12.589777289999999
2015,JPN,Miscellaneous support for services to the sector,55.6853881
2015,JPN,Provision of infrastructure,602.0794678
2015,JPN,Total,670.35463319
2016,JPN,Marketing and promotion,13.53470001
2016,JPN,Miscellaneous support for services to the sector,65.12728582999999
